image_id,related_event_id,amount,currency
image_01,event_253,4365000,IDR
image_02,event_1442,2854,INR
image_03,event_1545,41272,INR
image_04,event_1700,704.05,INR
image_05,event_1786,200000,INR
image_06,event_3051,1995,INR
image_07,event_3231,8528,INR
image_08,event_4535,15339,INR
image_09,event_5170,723,INR
image_10,event_6033,79679.26,INR
image_11,event_6859,3650,INR
image_12,event_7307,33.50,USD
image_13,event_7941,2298,INR
image_14,event_9421,4593,INR
image_15,event_9806,9968,INR
image_16,event_10521,393.22,INR
