request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,stop:event_2322,Pay IDR 15656000 today while keeping the IDR 24768300 minimum protected.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,stop:event_2412,Pay ZAR 6670 today while keeping the ZAR 20500 minimum protected.
request_28,382.2,affordable_later,wait,2024-06-14:1302.4,2024-06-14,none,"Wait until 2024-06-14, when the full EUR 1302.4 is forecast safe."
request_29,29054.09,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 28300 minimum protected by the deadline.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,stop:event_2694,Use the supplied installment schedule; it keeps the USD 900 minimum protected.
request_31,5948819.36,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Wait until 2024-09-15, when the full IDR 18164000 is forecast safe."
request_32,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 35700 minimum protected by the deadline.
request_33,51782.22,affordable_later,wait,2026-01-14:118000,2026-01-14,none,"Wait until 2026-01-14, when the full INR 118000 is forecast safe."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,stop:event_3084,Pay INR 129400 today while keeping the INR 138500 minimum protected.
request_35,69538.66,affordable_later,wait,2025-11-15:212000,2025-11-15,none,"Wait until 2025-11-15, when the full INR 212000 is forecast safe."
request_36,921.23,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the USD 2400 minimum protected by the deadline.
request_37,6828914.15,affordable_later,wait,2024-03-17:14649000,2024-03-17,none,"Wait until 2024-03-17, when the full IDR 14649000 is forecast safe."
request_38,264.82,affordable_later,wait,2025-10-13:971.3,2025-10-13,none,"Wait until 2025-10-13, when the full EUR 971.3 is forecast safe."
request_39,160378.32,affordable_later,wait,2026-04-14:208600,2026-04-14,none,"Wait until 2026-04-14, when the full INR 208600 is forecast safe."
request_40,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the EUR 1500 minimum protected by the deadline.
request_41,13895313.67,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Wait until 2025-11-15, when the full IDR 38760000 is forecast safe."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today while keeping the INR 113100 minimum protected.
request_43,12371516.98,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 21398000 minimum protected by the deadline.
request_44,0,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 82900 minimum protected by the deadline.
request_45,5270814.54,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the IDR 11149800 minimum protected by the deadline.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,stop:event_4223,Use the supplied installment schedule; it keeps the INR 84000 minimum protected.
request_47,30460302.24,affordable_later,wait,2025-06-04:38114000,2025-06-04,none,"Wait until 2025-06-04, when the full IDR 38114000 is forecast safe."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,stop:event_4451,Pay INR 45700 today while keeping the INR 71300 minimum protected.
request_49,15786210.35,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-17,none,Use the supplied installment schedule; it keeps the IDR 20275700 minimum protected.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,stop:event_4679,Pay INR 43900 today while keeping the INR 99700 minimum protected.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today while keeping the IDR 7811000 minimum protected.
request_52,26530,affordable_later,wait,2024-06-10:28870,2024-06-10,none,"Wait until 2024-06-10, when the full INR 28870 is forecast safe."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,Use the supplied installment schedule; it keeps the USD 2100 minimum protected.
request_54,4323.9,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 37000 minimum protected by the deadline.
request_55,148698.19,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-14,none,Use the supplied installment schedule; it keeps the INR 124300 minimum protected.
request_56,777.1,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-06,none,Use the supplied installment schedule; it keeps the USD 2100 minimum protected.
request_57,14724.02,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 42700 minimum protected by the deadline.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,stop:event_5357,Pay IDR 16226000 today while keeping the IDR 14433900 minimum protected.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,stop:event_5471,Use the supplied installment schedule; it keeps the INR 132600 minimum protected.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,stop:event_5574,Pay USD 199.89 today while keeping the USD 400 minimum protected.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,stop:event_5683,Use the supplied installment schedule; it keeps the ZAR 36700 minimum protected.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,stop:event_5749,Pay USD 404.23 today while keeping the USD 1300 minimum protected.
request_63,68981.5,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the INR 153500 minimum protected by the deadline.
request_64,48241.6,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-14,none,Use the supplied installment schedule; it keeps the INR 36100 minimum protected.
request_65,7114.42,not_affordable,not_recommended,none,,none,Do not proceed: no eligible plan keeps the ZAR 15500 minimum protected by the deadline.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today while keeping the INR 80700 minimum protected.
